palabra,primera N1,segunda N1,tercera N1,cuarta N1,quinta N1
O,"['O', 0]","['ser', 3.695370676126686e-10]","['La', 6.591501788832943e-10]","['más', 9.996575789372741e-10]","['an', 1.2075985766912822e-09]"
bueno,"['bueno', 0]","['agua', 5.192513086171857e-13]","['22', 2.0825563495918686e-12]","['horas', 2.561140188817035e-11]","['allí', 3.305844487044851e-11]"
mujer,"['mujer', 0]","['año', 2.4030777368011513e-12]","['den', 2.4085178296218146e-12]","['18', 9.600653605446041e-12]","['día', 2.172684254730939e-11]"
Así,"['Así', 0]","['cosas', 1.4174217355389374e-12]","['fe', 5.6636917378227736e-12]","['cuenta', 5.686784376734977e-12]","['tener', 1.2808087923588118e-11]"
@FGRMexico,"['@FGRMexico', 0]","['lamehuevos', 6.699138803911708e-06]","['@delfinagomeza', 9.819707501246278e-06]","['lamebotas', 2.4055638179087957e-05]","['@kenialopezr', 3.236299759279415e-05]"
línea,"['línea', 0]","['políticas', 1.7053025658242404e-13]","['grupos', 6.811218256075335e-13]","['Nueva', 2.734590331954223e-12]","['juego', 1.0964340546593121e-11]"
han,"['han', 0]","['Ten', 3.284705840655988e-12]","['hasta', 2.963584933013408e-11]","['buen', 1.189898179987381e-10]","['él', 3.915419100053441e-10]"
cada,"['cada', 0]","['Sr', 1.929656434640492e-11]","['forma', 3.403632931053835e-11]","['durante', 7.641032251370916e-11]","['estaba', 1.0388678806094731e-10]"
partido,"['partido', 0]","['Parece', 1.4657164371101317e-12]","['pobre', 1.47182266374557e-12]","['resultado', 3.2946978478776145e-12]","['Dan', 3.3149039069257924e-12]"
nunca,"['nunca', 0]","['pasa', 1.503686064552312e-11]","['medio', 1.5147327836473323e-11]","['Tengo', 2.3473556431952147e-11]","['dijo', 2.3689383787939278e-11]"
@GN_MEXICO_,"['@GN_MEXICO_', 0]","['@ivonnemelgar', 3.972751063563429e-06]","['@ivonnecisnerosL', 3.972751063563429e-06]","['@SenadoresdelPAN', 7.925471338987577e-06]","['prepotente', 9.466466878271795e-06]"
senadora,"['senadora', 0]","['Neta', 1.269840588236093e-08]","['váyase', 4.7806884007073336e-08]","['servidora', 1.8651748467934937e-07]","['avenidas', 2.978360250649459e-07]"
Tu,"['Tu', 0]","['número', 8.075762281123389e-13]","['000', 3.22741833258533e-12]","['persona', 7.2554184882278605e-12]","['familia', 7.293832204879891e-12]"
ti,"['ti', 0]","['Con', 8.848255461657573e-12]","['pa', 3.533662251697933e-11]","['Un', 3.55638851701201e-11]","['pre', 8.01474442368999e-11]"
quiere,"['quiere', 0]","['diciembre', 2.379096919469248e-12]","['hoy', 5.331068919645077e-12]","['Quiero', 1.4784728996630747e-11]","['Soy', 1.4905854328617352e-11]"
favor,"['favor', 0]","['ese', 2.7475799413423374e-12]","['lugar', 1.0951239914902544e-11]","['nada', 1.1003864486269777e-11]","['mal', 6.820077835811844e-11]"
🤣,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
@_VicenteSerrano,"['@_VicenteSerrano', 0]","['twitter', 3.2384591376333205e-06]","['Coyoacán', 1.0033969692346822e-05]","['@JulietaRamirezP', 1.2865536267336886e-05]","['@Julieta_Kristal', 1.2865536267336886e-05]"
@PRI_Nacional,"['@PRI_Nacional', 0]","['@GobCDMX', 8.564349301187768e-06]","['@tatclouthier', 3.0247338654421085e-05]","['@LupitaSaldana_', 6.129764544771099e-05]","['@mario_delgado', 0.00010457802824170859]"
gran,"['gran', 0]","['ya', 3.58224561125553e-11]","['Le', 1.9761503544657444e-10]","['algo', 4.048971158354675e-10]","['contra', 4.766036454384448e-10]"
estás,"['estás', 0]","['super', 1.861510945389e-12]","['tengo', 1.6680878900388052e-11]","['Gracias', 2.988076452936639e-11]","['verdad', 1.2004386373831721e-10]"
tanto,"['tanto', 0]","['Que', 4.3533843196996713e-11]","['Ha', 1.0991496601775452e-10]","['toda', 1.1180500969487639e-10]","['después', 2.071480764698208e-10]"
igual,"['igual', 0]","['gracias', 7.775891042172134e-12]","['Todo', 1.2159162565694714e-11]","['problemas', 1.7522761019961308e-11]","['productos', 3.1200264594133387e-11]"
nadie,"['nadie', 0]","['Porque', 4.004463427520477e-12]","['eran', 4.022893129729255e-12]","['condiciones', 2.8716362621139524e-11]","['llegar', 3.587841135299641e-11]"
trabajo,"['trabajo', 0]","['ven', 2.652100761224574e-11]","['Estados', 1.0725409449463541e-10]","['ahora', 1.4369228029664782e-10]","['algun', 2.9218538699637975e-10]"
cuenta,"['cuenta', 0]","['tener', 1.4260814751310136e-12]","['Así', 5.686784376734977e-12]","['cosas', 1.278210870481189e-11]","['fe', 2.2700841206813038e-11]"
sabe,"['sabe', 0]","['segundo', 3.44058115331336e-12]","['mercado', 1.3731904502378711e-11]","['apoyo', 1.3852918812062853e-11]","['nueva', 1.8677170920966546e-11]"
Ni,"['Ni', 0]","['Has', 6.912581618223612e-12]","['aún', 1.0728085086952888e-11]","['historia', 1.0809131367750524e-11]","['esos', 2.1217694268216292e-11]"
contra,"['contra', 0]","['era', 6.179867728661748e-11]","['ya', 2.510975871672372e-10]","['gran', 4.766036454384448e-10]","['Buen', 1.2289482764771265e-09]"
toda,"['toda', 0]","['Que', 1.5806800313100666e-11]","['mundo', 6.383904516127359e-11]","['tanto', 1.1180500969487639e-10]","['otra', 1.1373546549009461e-10]"
ahí,"['ahí', 0]","['será', 7.973732785160337e-12]","['vamos', 5.614275710996708e-11]","['padre', 1.0797784888438855e-10]","['manera', 1.2586909292622295e-10]"
EL,"['EL', 0]","['análisis', 5.84976511674995e-13]","['36', 1.0434986208451846e-12]","['médico', 4.15067979986361e-12]","['red', 5.250799794964678e-12]"
Gracias,"['Gracias', 0]","['super', 1.6826207094311485e-11]","['estás', 2.988076452936639e-11]","['verdad', 3.014177796245576e-11]","['sea', 4.7147508119849135e-11]"
@LuisaAlcalde,"['@LuisaAlcalde', 0]","['JAMAS', 1.3568506352923393e-06]","['@TrenMayaMX', 3.942012356528135e-05]","['Jaja', 8.214176717491473e-05]","['Jaja,', 8.214176717491473e-05]"
nuestro,"['nuestro', 0]","['dentro', 3.1000757516608246e-12]","['importante', 3.1108449149996886e-12]","['servicios', 3.827438366243996e-11]","['sabes', 6.338074509670832e-11]"
yo,"['yo', 0]","['esto', 4.635736239322341e-12]","['9', 1.86186621675688e-11]","['dos', 7.386791178731755e-11]","['sin', 4.579310264318792e-10]"
mexicanos,"['mexicanos', 0]","['pinta', 3.7414515929867775e-14]","['subió', 4.707345624410664e-14]","['miserable', 9.85878045867139e-14]","['NI', 1.056932319443149e-13]"
personas,"['personas', 0]","['mí', 1.8058887718552796e-12]","['15', 7.20068449311384e-12]","['Cómo', 7.231881760105807e-12]","['otra', 1.6184165119170757e-11]"
vergüenza,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
niños,"['niños', 0]","['puedes', 7.287503933639528e-13]","['25', 7.300826609935029e-13]","['hacia', 6.548317443844098e-12]","['tenemos', 5.863320939880623e-11]"
persona,"['persona', 0]","['creo', 8.033573806187633e-13]","['000', 8.046896482483135e-13]","['número', 3.2217561951597418e-12]","['Tu', 7.2554184882278605e-12]"
vieja,"['vieja', 0]","['basta', 6.106226635438361e-15]","['combate', 2.4091839634365897e-14]","['peligroso', 5.3734794391857577e-14]","['venga', 5.4067861299245124e-14]"
@BeatrizPRangel_,"['@BeatrizGMuller', 0]","['@BeatrizPRangel_', 0]","['desplome', 1.927397306833445e-05]","['@MetrobusCDMX', 0.0002544711068450667]","['@DanteDelgado', 0.0002897861256097034]"
Qué,"['Qué', 0]","['Por', 7.219347342157789e-11]","['sus', 2.847495572666503e-10]","['200', 6.55885568079384e-10]","['ver', 9.496815556175875e-10]"
gracias,"['gracias', 0]","['Todo', 4.878319970202938e-13]","['problemas', 1.952993322618113e-12]","['igual', 7.775891042172134e-12]","['productos', 7.824185743743328e-12]"
Yo,"['Yo', 0]","['tiempo', 1.688285067302786e-10]","['Comisión', 2.797931886178162e-10]","['buen', 3.372382373356686e-10]","['hasta', 5.67793256855964e-10]"
Usted,"['Usted', 0]","['cuerpo', 1.8207657603852567e-13]","['primero', 1.6344703368531555e-12]","['tema', 1.1588729975642309e-11]","['Sé', 1.1701528634944225e-11]"
creo,"['creo', 0]","['persona', 8.033573806187633e-13]","['000', 3.216205080036616e-12]","['informe', 7.204459251397566e-12]","['número', 7.242539901142209e-12]"
mismo,"['mismo', 0]","['Está', 1.0320744259217918e-11]","['Ah', 1.6397294633208048e-10]","['están', 1.6709245098667225e-10]","['acuerdo', 2.5560797922707934e-10]"
Como,"['Como', 0]","['quien', 9.183209748186982e-12]","['especial', 1.6219248166748912e-11]","['eres', 2.5319080165786545e-11]","['bus', 6.463629631525691e-11]"
corrupción,"['corrupción', 0]","['perdón', 2.3314683517128287e-15]","['irte', 2.1871393585115584e-14]","['logro', 6.084022174945858e-14]","['dejando', 8.79296635503124e-14]"
Para,"['Para', 0]","['sea', 4.7664316937812146e-11]","['verdad', 6.8561933908029e-11]","['había', 6.946687669540097e-11]","['Gracias', 1.89622317847693e-10]"
ve,"['ve', 0]","['bien', 7.2668537853815e-12]","['i', 1.1538714428382946e-10]","['qué', 1.9036136000849524e-09]","['tu', 2.4167139400788074e-09]"
será,"['será', 0]","['ahí', 7.973732785160337e-12]","['padre', 5.726685792240005e-11]","['programa', 7.254397083045205e-11]","['vamos', 1.0643219638950541e-10]"
12,"['12', 0]","['hace', 2.064126647383091e-12]","['mayor', 8.265388373729365e-12]","['sí', 1.8617885011451563e-11]","['Dios', 3.2841507291436756e-11]"
Eso,"['Eso', 0]","['esa', 2.0872192862952943e-12]","['sido', 2.0919932453011825e-12]","['San', 8.339551271774326e-12]","['mucho', 8.376743743099269e-12]"
nivel,"['nivel', 0]","['bus', 1.0015321905143537e-12]","['Cuando', 8.980372001587966e-12]","['eres', 1.6069034991517128e-11]","['especial', 2.513123043001997e-11]"
sobre,"['sobre', 0]","['200', 7.426093073803486e-11]","['está', 7.496636644788168e-11]","['Se', 2.0889978635807438e-10]","['De', 5.373307354616941e-10]"
@PatyArmendariz,"['@PatyArmendariz', 0]","['@DavidPramo2', 2.2175899783150044e-08]","['@AtypicalTeve', 2.018644838730488e-06]","['@molotovmx', 6.272525769568382e-06]","['@VanConstruyendo', 8.082388428087839e-06]"
Claudia,"['Claudia', 0]","['interesan', 2.220446049250313e-16]","['homosexual', 1.5543122344752192e-15]","['elefante', 5.284661597215745e-14]","['ignorancia', 5.306866057708248e-14]"
Me,"['Me', 0]","['este', 9.850675830591626e-11]","['r', 2.2229129648110302e-10]","['fin', 3.8718972472651103e-10]","['Lo', 4.893260241445319e-10]"
poder,"['poder', 0]","['dinero', 7.517320099736935e-13]","['Estás', 1.1976974967353726e-11]","['total', 1.86980431138295e-11]","['punto', 2.7182367468014945e-11]"
esto,"['esto', 0]","['yo', 4.635736239322341e-12]","['dos', 4.149403043385291e-11]","['9', 4.1834757880110374e-11]","['sin', 3.704190287834308e-10]"
pues,"['pues', 0]","['momento', 1.6439372085841342e-10]","['haber', 2.3007007410313918e-10]","['segun', 2.597205783771983e-10]","['señor', 3.0692381969288363e-10]"
@CaraveoBertha,"['@CaraveoBertha', 0]","['@LorenaCuellar', 0.00036684787016627585]","['@LorenaAlfaroG', 0.00036684787016627585]","['verduleras', 0.0003947480607273679]","['@AristeguiOnline', 0.0005916168562460911]"
Lilly,"['Lilly', 0]","['DEBE', 2.046041780445762e-08]","['patito', 1.2412543903828066e-07]","['¿Cuántos', 2.4803160092456977e-07]","['gob', 7.126586938355217e-07]"
otro,"['otro', 0]","['información', 1.5673018438633335e-12]","['desarrollo', 6.249778472522394e-12]","['miembros', 6.275757691298622e-12]","['Bien', 3.893962929879535e-11]"
política,"['política', 0]","['Sal', 7.150946501610633e-13]","['Señor', 2.8587132661073156e-12]","['tenemos', 2.868483228724017e-12]","['tenía', 1.1414647005381084e-11]"
peor,"['peor', 0]","['compromiso', 1.1741718708435656e-12]","['trato', 2.085887018665744e-12]","['página', 3.938738224462668e-12]","['autoridad', 4.685474230825548e-12]"
madre,"['madre', 0]","['parece', 2.244315844279754e-12]","['problema', 5.029643368459347e-12]","['saber', 5.053957252698638e-12]","['ley', 8.991807298741605e-12]"
Una,"['Una', 0]","['debe', 1.4435119766176285e-12]","['nuevo', 1.301825314214966e-11]","['tener', 3.586830832347232e-11]","['cuenta', 5.159794813636154e-11]"
vida,"['vida', 0]","['plan', 2.6511015605024113e-12]","['están', 1.0567435815289627e-11]","['10', 1.30840338563587e-10]","['mismo', 2.617008831862222e-10]"
alguien,"['alguien', 0]","['pal', 7.706280058528137e-12]","['presente', 2.1444734876752136e-11]","['manera', 4.210698456574846e-11]","['vamos', 1.0435186048596279e-10]"
esos,"['esos', 0]","['historia', 1.7386092565629951e-12]","['volver', 1.7439383270811959e-12]","['Has', 3.908984247402714e-12]","['Unidos', 3.926636793494254e-12]"
Un,"['Un', 0]","['pre', 8.933853656856172e-12]","['ti', 3.55638851701201e-11]","['3', 3.579281315779781e-11]","['Con', 7.989042760669918e-11]"
😂,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
dar,"['dar', 0]","['nosotros', 3.9143133179209144e-12]","['Sin', 8.766765091650086e-12]","['estas', 1.557087792036782e-11]","['fuera', 2.4307222901143177e-11]"
@ChumelTorres,"['@ChumelTorres', 0]","['@RicardoBSalinas', 0.0003349237771267388]","['Zacatecas', 0.0004906500883173903]","['Zacatecas,', 0.0004906500883173903]","['@STPS_mx', 0.0005462411685872581]"
voto,"['voto', 0]","['útil', 7.105427357601002e-15]","['preparado', 2.853273173286652e-14]","['intentando', 2.559064071760986e-13]","['daños', 7.103206911551752e-13]"
educación,"['educación', 0]","['segunda', 6.390443729742401e-13]","['chica', 1.4384049507043528e-12]","['grande', 2.547073663095034e-12]","['Seguridad', 4.000910713841677e-12]"
hecho,"['hecho', 0]","['Dios', 2.041256053075813e-12]","['12', 5.1257997846221315e-11]","['tú', 7.291600656600394e-11]","['hace', 7.389366896148886e-11]"
@AccionNacional,"['@AccionNacional', 0]","['@ruizmassieu', 0.0003182053703687515]","['@Pemex', 0.0004891958895866244]","['@olgajulianaeg', 0.0011533698713229734]","['@SalmaLuevano', 0.001493832774796644]"
debe,"['debe', 0]","['Una', 1.4435119766176285e-12]","['nuevo', 5.791922497166979e-12]","['tal', 3.630917788655097e-11]","['tener', 5.170308625679354e-11]"
hacen,"['hacen', 0]","['lucha', 4.051203816857196e-13]","['terror', 9.12048214729566e-13]","['transporte', 2.536082455151245e-12]","['podía', 4.975908574067489e-12]"
tiempo,"['tiempo', 0]","['Comisión', 1.3939960297193466e-11]","['Yo', 1.688285067302786e-10]","['parte', 5.082692045021986e-10]","['Par', 9.082263829895965e-10]"
!!,"['!!', 0]","['¡¡', 9.175766813029895e-10]","['??', 2.8981714916831436e-08]","[',,', 9.67094591075579e-08]","['..', 1.130594934339868e-07]"
Solo,"['Solo', 0]","['Europa', 2.9665159217984183e-13]","['50', 1.187827614046455e-12]","['conmigo', 1.0719647391965736e-11]","['Mal', 1.4461321029557439e-11]"
Hay,"['Hay', 0]","['tras', 4.162448163924637e-12]","['14', 9.37416810842251e-12]","['tienes', 5.1229354092185986e-11]","['quien', 6.59774457290041e-11]"
Ojalá,"['Ojalá', 0]","['Lamento', 9.325873406851315e-15]","['cientos', 2.120525977034049e-14]","['laborales', 2.3359092438113294e-13]","['ase', 2.815525590449397e-13]"
estas,"['estas', 0]","['fuera', 9.68669588985449e-13]","['Sin', 9.705569681273118e-13]","['dar', 1.557087792036782e-11]","['nosotros', 3.50994788789194e-11]"
haciendo,"['haciendo', 0]","['proyecto', 1.0490053270473254e-11]","['personal', 1.0560552432536952e-11]","['CO', 1.637712188085061e-11]","['veces', 2.3563484496946785e-11]"
pena,"['pena', 0]","['humano', 3.597122599785507e-14]","['mente', 1.4377388168895777e-13]","['promover', 3.2429614549300823e-13]","['genial', 8.979483823168266e-13]"
@CiroMurayamaINE,"['@CiroMurayamaINE', 0]","['@CiroGomezL', 0]","['@PROFEPA_Mx', 7.990938486912569e-06]","['@FelipeCalderon', 2.308965575659183e-05]","['""Muera', 3.2949407669846664e-05]"
fuera,"['fuera', 0]","['estas', 9.68669588985449e-13]","['Sin', 3.878453114225522e-12]","['dar', 2.4307222901143177e-11]","['nosotros', 4.773015316317242e-11]"
!!!,"['!!!', 0]","['!!!!', 0]","['!!!!!', 0]","['!!!!!!', 0]","['¡¡¡', 5.971597660803241e-10]"
respeto,"['respeto', 0]","['Pos', 1.2745360322696797e-13]","['incluye', 7.985834216128751e-13]","['marcha', 1.5578649481540197e-12]","['disposición', 1.5663026431411708e-12]"
todas,"['todas', 0]","['nombre', 1.479150135708096e-12]","['Esta', 2.3742230403911435e-11]","['poco', 3.6756930832382295e-11]","['tal', 5.2875925860007555e-11]"
loca,"['loca', 0]","['capacitación', 1.3700152123874432e-13]","['diario', 2.141620214501927e-13]","['1985', 3.0753177782116836e-13]","['sientes', 8.528733275170453e-13]"
has,"['has', 0]","['Mi', 4.85678164352521e-12]","['Pero', 1.9507839787991088e-11]","['también', 4.39532854557001e-11]","['pos', 7.738842899840392e-11]"
PRI,"['PRI', 0]","['PRD', 2.8852453759498076e-10]","['calaca', 8.647457209187692e-07]","['estupido', 1.3662500794042742e-06]","['fachos', 2.4689294548796425e-06]"
libro,"['libro', 0]","['utilizar', 8.620881786214341e-13]","['Don', 2.3850921238022238e-12]","['ellas', 3.432809592140984e-12]","['local', 4.703792910731863e-12]"
Mejor,"['Mejor', 0]","['espero', 1.6209256159527285e-14]","['leer', 6.483702463810914e-14]","['necesaria', 2.594591208548991e-13]","['Partido', 4.0401015866109447e-13]"
muchos,"['muchos', 0]","['siendo', 3.9246383920499284e-13]","['través', 1.5734080704987718e-12]","['Muy', 3.5429437161837996e-12]","['podemos', 9.78372938220673e-12]"
estos,"['estos', 0]","['voy', 4.322431301773122e-12]","['noche', 4.338751580235112e-12]","['gente', 9.716005777704595e-12]","['Estado', 1.7256529538656196e-11]"
dos,"['dos', 0]","['esto', 4.149403043385291e-11]","['yo', 7.386791178731755e-11]","['sin', 1.639598457003899e-10]","['9', 1.6665668844950687e-10]"
EN,"['EN', 0]","['estuvo', 2.7611246622427643e-13]","['ves', 6.213918268827001e-13]","['llamada', 1.1055600879217309e-12]","['puedan', 1.7281731601315187e-12]"
lugar,"['lugar', 0]","['favor', 1.0951239914902544e-11]","['mal', 2.4493740369280204e-11]","['ese', 2.4669821740985753e-11]","['nada', 4.3909986757739716e-11]"
sabes,"['sabes', 0]","['servicios', 3.1491476093492565e-12]","['aplicación', 3.1601388172930456e-12]","['cara', 7.1165295878472534e-12]","['importante', 3.8408387581512216e-11]"
parte,"['parte', 0]","['Par', 5.763800547953224e-11]","['país', 9.017486757301185e-11]","['Comisión', 3.5386171770568353e-10]","['tiempo', 5.082692045021986e-10]"
cosas,"['cosas', 0]","['fe', 1.4146461779773745e-12]","['Así', 1.4174217355389374e-12]","['cuenta', 1.278210870481189e-11]","['tener', 2.2746915462334982e-11]"
sí,"['sí', 0]","['mayor', 2.0732304761850173e-12]","['San', 2.077893412888443e-12]","['hace', 8.283818075938143e-12]","['esa', 8.321010547263086e-12]"
otros,"['otros', 0]","['antes', 2.0143220424984065e-11]","['deber', 3.5769276429675756e-11]","['estoy', 5.5826232525646446e-11]","['casa', 8.140166318781894e-11]"
hoy,"['hoy', 0]","['Quiero', 2.3597790388407702e-12]","['gas', 5.3054227677762356e-12]","['quiere', 5.331068919645077e-12]","['quién', 1.4712675522332574e-11]"
deja,"['deja', 0]","['amo', 3.1530333899354446e-14]","['mínimo', 7.849276784099857e-13]","['funcionamiento', 1.5457635171856055e-12]","['defensa', 2.0197177263980848e-12]"
ella,"['ella', 0]","['donde', 2.300271084720862e-12]","['Bueno', 9.211409413012461e-12]","['casa', 3.659350600315747e-11]","['uno', 3.692979255731643e-11]"
era,"['era', 0]","['contra', 6.179867728661748e-11]","['ya', 5.620348630941407e-10]","['Buen', 7.395760670547702e-10]","['u', 8.479100754854585e-10]"
estamos,"['estamos', 0]","['mientras', 5.266898028821743e-13]","['horas', 2.1055379662016094e-12]","['particular', 1.3233414364322016e-11]","['datos', 1.9071300094708477e-11]"
Senadora,"['Senadora', 0]","['TODO', 1.5577999668003883e-08]","['quitan', 2.0780297593780972e-08]","['Vivan', 5.1391927491373224e-08]","['TODA', 1.2518910119663218e-07]"
